group,subjectid,block,trial,latency,accuracy,task,tasksequence
BI_C_Digit,9.0,1.0,120,1205.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,1,842.0,1.0,3.0,0.0
BI_C_Digit,9.0,2.0,2,403.0,1.0,2.0,0.0
BI_C_Digit,9.0,2.0,3,621.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,4,467.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,5,661.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,6,883.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,7,520.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,8,420.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,9,459.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,10,415.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,11,691.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,12,1006.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,13,865.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,14,1058.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,15,1031.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,16,1000.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,17,719.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,18,907.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,19,677.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,20,832.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,21,626.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,22,638.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,23,540.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,24,465.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,25,788.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,26,834.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,27,503.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,28,532.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,29,1445.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,30,1163.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,31,1567.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,32,934.0,0.0,1.0,ABA
BI_C_Digit,9.0,2.0,33,874.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,34,613.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,35,507.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,36,1555.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,37,758.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,38,2536.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,39,731.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,40,2242.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,41,1351.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,42,2496.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,43,1430.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,44,1750.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,45,476.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,46,666.0,0.0,1.0,ABA
BI_C_Digit,9.0,2.0,47,520.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,48,595.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,49,490.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,50,822.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,51,468.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,52,1318.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,53,562.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,54,1190.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,55,1607.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,56,756.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,57,483.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,58,612.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,59,882.0,0.0,3.0,CBA
BI_C_Digit,9.0,2.0,60,779.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,61,860.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,62,617.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,63,2313.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,64,831.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,65,901.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,66,640.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,67,583.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,68,1027.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,69,2344.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,70,952.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,71,1131.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,72,428.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,73,743.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,74,884.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,75,819.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,76,902.0,0.0,1.0,ABA
BI_C_Digit,9.0,2.0,77,594.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,78,2525.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,79,1166.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,80,1759.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,81,788.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,82,1458.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,83,1698.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,84,557.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,85,553.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,86,1758.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,87,1065.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,88,1611.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,89,950.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,90,926.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,91,718.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,92,628.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,93,755.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,94,783.0,0.0,3.0,ABA
BI_C_Digit,9.0,2.0,95,486.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,96,832.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,97,387.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,98,767.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,99,783.0,1.0,2.0,ABA
BI_C_Digit,9.0,2.0,100,1057.0,0.0,3.0,ABA
BI_C_Digit,9.0,2.0,101,495.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,102,390.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,103,938.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,104,1028.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,105,1205.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,106,724.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,107,1520.0,1.0,3.0,CBA
BI_C_Digit,9.0,2.0,108,841.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,109,887.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,110,403.0,1.0,2.0,CBA
BI_C_Digit,9.0,2.0,111,1364.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,112,578.0,1.0,1.0,CBA
BI_C_Digit,9.0,2.0,113,1434.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,114,2341.0,0.0,1.0,ABA
BI_C_Digit,9.0,2.0,115,1424.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,116,743.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,117,921.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,118,1170.0,1.0,1.0,ABA
BI_C_Digit,9.0,2.0,119,784.0,1.0,3.0,ABA
BI_C_Digit,9.0,2.0,120,644.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,1,742.0,1.0,3.0,0.0
BI_C_Digit,9.0,3.0,2,774.0,1.0,2.0,0.0
BI_C_Digit,9.0,3.0,3,1165.0,0.0,3.0,ABA
BI_C_Digit,9.0,3.0,4,389.0,1.0,1.0,CBA
BI_C_Digit,9.0,3.0,5,1391.0,1.0,3.0,ABA
BI_C_Digit,9.0,3.0,6,834.0,1.0,2.0,CBA
BI_C_Digit,9.0,3.0,7,633.0,0.0,1.0,CBA
BI_C_Digit,9.0,3.0,8,740.0,1.0,3.0,CBA
