rt,trial_index,subjectHandedness,subjectAge,subjectGender,key_press,correct_choice,coherent_movement_direction,coherence_movement,coherence_orientation,task,block,subject_id,accuracy,moving_up,moving_down,pointing_up,pointing_down
864.00000000003,323,r,34,f,70.0,f,90.0,90.0,100.0,movement,2.0,1,1,90.0,10.0,100.0,0.0
1416.0,326,r,34,f,70.0,f,90.0,60.0,25.0,movement,2.0,1,1,60.0,40.0,25.0,75.0
813.00000000006,329,r,34,f,74.0,j,270.0,90.0,0.0,movement,2.0,1,1,10.0,90.0,100.0,0.0
1208.0,332,r,34,f,70.0,f,90.0,75.0,75.0,movement,2.0,1,1,75.0,25.0,75.0,25.0
1027.0,335,r,34,f,74.0,j,270.0,90.0,100.0,movement,2.0,1,1,10.0,90.0,0.0,100.0
1203.0000000001,338,r,34,f,70.0,f,90.0,60.0,0.0,movement,2.0,1,1,60.0,40.0,0.0,100.0
899.0,342,r,34,f,70.0,f,90.0,75.0,75.0,movement,3.0,1,1,75.0,25.0,75.0,25.0
1175.0,345,r,34,f,74.0,j,270.0,75.0,100.0,movement,3.0,1,1,25.0,75.0,0.0,100.0
939.0,348,r,34,f,70.0,j,270.0,60.0,100.0,movement,3.0,1,0,40.0,60.0,0.0,100.0
1022.0,351,r,34,f,74.0,j,270.0,90.0,0.0,movement,3.0,1,1,10.0,90.0,100.0,0.0
1308.9999999999,354,r,34,f,74.0,j,270.0,90.0,75.0,movement,3.0,1,1,10.0,90.0,25.0,75.0
1096.0,357,r,34,f,70.0,f,90.0,60.0,75.0,movement,3.0,1,1,60.0,40.0,75.0,25.0
947.0,360,r,34,f,74.0,j,270.0,60.0,0.0,movement,3.0,1,1,40.0,60.0,100.0,0.0
1356.0,363,r,34,f,70.0,f,90.0,60.0,0.0,movement,3.0,1,1,60.0,40.0,0.0,100.0
1021.9999999999,366,r,34,f,74.0,f,90.0,60.0,25.0,movement,3.0,1,0,60.0,40.0,25.0,75.0
1279.0,369,r,34,f,70.0,j,270.0,60.0,25.0,movement,3.0,1,0,40.0,60.0,75.0,25.0
899.0,372,r,34,f,70.0,f,90.0,75.0,100.0,movement,3.0,1,1,75.0,25.0,100.0,0.0
794.99999999994,375,r,34,f,74.0,j,270.0,90.0,100.0,movement,3.0,1,1,10.0,90.0,0.0,100.0
1304.0,378,r,34,f,70.0,f,90.0,90.0,75.0,movement,3.0,1,1,90.0,10.0,75.0,25.0
1190.0,381,r,34,f,74.0,j,270.0,75.0,0.0,movement,3.0,1,1,25.0,75.0,100.0,0.0
1209.0,384,r,34,f,74.0,j,270.0,75.0,25.0,movement,3.0,1,1,25.0,75.0,75.0,25.0
1242.0,387,r,34,f,70.0,f,90.0,90.0,100.0,movement,3.0,1,1,90.0,10.0,100.0,0.0
794.0,390,r,34,f,74.0,j,270.0,75.0,75.0,movement,3.0,1,1,25.0,75.0,25.0,75.0
1125.0,393,r,34,f,70.0,f,90.0,60.0,100.0,movement,3.0,1,1,60.0,40.0,100.0,0.0
915.0,396,r,34,f,74.0,j,270.0,90.0,25.0,movement,3.0,1,1,10.0,90.0,75.0,25.0
1220.0,399,r,34,f,70.0,f,90.0,90.0,25.0,movement,3.0,1,1,90.0,10.0,25.0,75.0
1116.9999999999,402,r,34,f,74.0,j,270.0,60.0,75.0,movement,3.0,1,1,40.0,60.0,25.0,75.0
891.0,405,r,34,f,70.0,f,90.0,75.0,0.0,movement,3.0,1,1,75.0,25.0,0.0,100.0
1264.0,408,r,34,f,70.0,f,90.0,75.0,25.0,movement,3.0,1,1,75.0,25.0,25.0,75.0
1259.0,411,r,34,f,70.0,f,90.0,90.0,0.0,movement,3.0,1,1,90.0,10.0,0.0,100.0
814.0,415,r,34,f,70.0,f,90.0,75.0,25.0,movement,4.0,1,1,75.0,25.0,25.0,75.0
952.0,418,r,34,f,70.0,f,90.0,60.0,75.0,movement,4.0,1,1,60.0,40.0,75.0,25.0
1118.0,421,r,34,f,74.0,f,90.0,60.0,25.0,movement,4.0,1,0,60.0,40.0,25.0,75.0
1228.0,424,r,34,f,70.0,f,90.0,75.0,100.0,movement,4.0,1,1,75.0,25.0,100.0,0.0
1633.0,427,r,34,f,70.0,f,90.0,90.0,25.0,movement,4.0,1,1,90.0,10.0,25.0,75.0
1326.0,430,r,34,f,70.0,f,90.0,60.0,100.0,movement,4.0,1,1,60.0,40.0,100.0,0.0
1197.9999999999,433,r,34,f,74.0,j,270.0,60.0,75.0,movement,4.0,1,1,40.0,60.0,25.0,75.0
